SpeakerId,Gender
1097,m
957,m
250,f
778,m
601,f
986,m
1110,m
1027,m
1108,m
160,f
752,f
209,f
834,m
1065,m
548,f
293,f
629,f
113,f
266,f
1016,m
665,f
922,m
1084,m
839,f
1057,m
420,f
643,f
520,f
522,f
1012,m
135,f
846,f
288,f
1103,m
1007,m
101,f
847,f
1070,m
125,f
1019,m
274,f
308,f
1047,m
992,m
1061,m
305,f
1062,m
128,f
284,f
756,f
814,f
580,f
996,m
821,m
563,f
327,m
663,f
816,m
64,f
892,m
921,m
774,f
775,f
824,m
517,f
1041,m
1018,m
758,m
1063,m
1060,m
788,f
896,m
140,f
1053,m
640,f
721,f
136,f
1059,m
498,f
66,f
95,m
950,m
1100,m
1136,m
547,f
642,f
662,f
978,m
499,f
940,m
276,m
683,f
1071,m
1067,m
746,f
299,f
762,f
1040,m
110,f
794,f
579,f
571,m
653,f
697,f
1078,m
863,f
104,f
819,f
369,m
1020,m
81,f
993,m
380,m
826,f
1091,m
1010,m
341,m
1038,m
1101,m
818,f
376,m
688,f
633,f
849,f
396,f
651,f
120,m
979,m
577,m
917,m
1031,m
971,m
1116,m
597,f
560,f
150,m
588,f
771,f
782,f
707,m
448,f
748,f
623,f
127,f
828,m
737,f
646,m
1026,m
681,f
1074,m
295,f
716,f
290,f
744,f
92,m
925,m
410,f
1001,m
705,f
947,m
482,f
801,f
519,f
455,f
221,m
1046,m
1075,m
1109,m
340,m
538,f
861,f
632,f
736,f
605,f
279,f
1017,m
1064,m
328,m
107,m
1094,m
149,f
416,m
718,m
1102,m
961,m
302,f
504,f
1066,m
531,f
344,m
69,f
949,m
757,f
1003,m
123,f
869,m
331,m
780,f
119,m
419,m
598,f
1105,m
156,m
91,m
501,m
155,m
854,f
168,f
267,m
838,m
242,f
1029,m
890,m
704,m
702,f
727,f
759,f
99,m
129,f
988,m
484,m
858,f
808,f
1042,m
1051,m
286,f
102,f
804,m
893,m
391,f
1013,m
277,m
1080,m
923,m
886,m
799,f
995,m
537,f
844,f
134,f
873,m
837,f
904,m
59,m
767,f
933,m
783,f
770,f
